Locality;Human remains;Faunal remains;Stone tools;Organic tools;Symbolic Artifacts;Fire evidence;Summary;x;y;x_ingame;y_ingame
Ain Boucherit;0;1;2;0;0;0;Ain Boucherit is located in the Ain Hanech research area in NE Algeria. The archeological strata belong to the Ain Hanech Formation. The lithic artifacts and associated fossil bones come from two distinct strata: AB-LW and AB-Up. Some bones bearing cut marks.;6;36;346.14155844156;950.70779220779
Ain Fritissa;0;0;2;0;0;0;Ain Frissa is located on the right bank of the Moulonya river, 96 km south of the city of Guercif in a pre-Saharan plateau landscape. The unstratified lithic assemblages show an occupation during the Acheulean and the Aterian. Occupations during the Acheulean and the Aterian are documented by unstratified lithic assemblages.;-4;34;226.60998701299;917.12062337662
Ain Hanech;0;1;4;0;0;0;Ain Hanech is located in the high plateau of northeastern Algeria. It documents the spread of hominids to northern Africa by at least 1.7-1.8 Ma ago an represents the earliest know archaeological evidence in this part of Africa. The site yielded an Early Pleistocene fauna assocciated with Mode I technology artifacts. The artifacts are similar to those recovered from East African Plio-Pleistocene sites like Olduvai Bed I and Lower Bed II and Koobi Foora.;6;36;346.16753246753;950.71818181818
Arkin (2);0;0;2;0;0;0;Arkin 5 is a mining and workshop site where cores or tools were first shaped before being transported elsewhere. At Arkin 5 only 1.58 per cent of the collection were tools, the rest were debitage or cores. The sites do not yet have good dates.;31;22;680.08658051948;763.41991298701
Canteen Kopje;0;0;2;0;0;0;Canteen Kopje is located 1.3 km Southeast of the town of Barkly West (Western Cape Province), situated at the north bank of the Vaal River. It is famous for its prolific Acheulean artifacts, especially hand axes and the enigmatic prepared core and Levallois-like technology known as Victoria West. Here we present only information about the systematic excavations since the late 1990s.;25;-29;591.33074025974;109.83951948052
Chekheyti Issie 3;0;0;1;0;0;0;Chekheyti Issie 3 is one of four Chekheyti Issi localities near the hill of Anabo Koma and belongs to the area of the Gobaad Basin. During a surface collection, hundreds of hippopotamus elements associated with stone tools were collected. The site is so far undated. But the lithic assemblage, on a first inspection, can be attributed to the Oldowan.;42;11;821.96922857143;623.99873766234
Chesowanja;3;0;2;0;0;0;Chesowanja is located about 15 km east of Lake Baringo and consists of a long stratigraphic sequence of volcanic and sedimentary rocks which are faulted and eroded. In addition to human remains indicative of Australopithecus boisei and rich paleontological finds, lithic assemblages of Oldowan, Acheulean and unnamed later industries are present.;36;1;742.93506493506;488.97402597403
Chilga Kernet;0;0;1;0;0;0;Chilga Kernet is located west of Gondar and in 2002 investigation in the site began with surface sample collection and three test trenches. Biface morphology suggest an Early-Later Acheulian.;36;13;741.88971818182;643.2768038961
Drimolen;79;1;0;1;0;0;Drimolen is located 7 km noth of the Sterkfontain Valley caves in the Gauteng region and has been discovered in 1992. The 79 hominid specimens found at the site confirm that Paranthropus robustus was contemporaneous with early Homo in South Africa during the Plio-Pleitocene. The site yielded also faunal remains and some possible bone tools. Lithic artifacts were absent.;28;-26;633.19264025974;143.26118311688
El Kherba;0;1;3;0;0;0;El Kherba is located in the high plateau of northeastern Algeria, about 350 m south of the clasic site of Ain Hanech. It is situated in the Ain Hanech Formation. Three archeological layers yielded lithic assemblages designated to the Oldowan. They were associated with faunal remains.;6;36;346.16883116883;950.71298701299
Errayah;0;0;1;0;0;0;Errayah is located in the superficial formations of the Sidi-Ali region, about 2 km northwest of the Daira of Sidi-Ali. The Acheulean site has been discovered in 1996, and it contains two archeological layers with rich lithic components with a technological development from the ancient Acheulian to a final Acheulian.;0;36;278.18181818182;949.35064935065
Gona (14);1;0;29;0;0;0;Gona is a 500 m² study area located north of the Awash River. First investigations in this area were undertaken in the 1970s by H. Roche, followed by W.K. Harris and S. Semaw. The oldest stone artifacts in the world come from Gona. Therefore, it is a key site for understanding lithic technology and human evolution between 2.6 and 1.5 Ma years BP. Gona BSN (Busidima North) incorporates three archaeological sites (BSN12, BSN17, BSN6) which are close to each other and include Oldowan and Acheulean artifacts.;40;11;798.27788311688;624.3812987013
Hadar;190;2;23;0;0;0;Hadar is located in the Afar Region. Plio-Pleistocene deposits along the Awash River have revealed several Paleolithic sites. The assemblage contains numerous lithic artifacts which provide evidence of an occupation from ESA to LSA. The area has also yielded a rich vertebrate fauna, including some of the earliest hominid remains yet discovered. One of the best preserved and most famous example of early hominins is the skeleton of Lucy found in 1974 in this area.;41;11;799.78354935065;624.67532467532
Isimila Prehistoric Site;0;0;2;0;0;0;Isimila Prehistoric Site is located on the Iringa Plateau in the central highlands of Tanzania, situated in a river bed. The open air site was excavated in 1957 and 1958 and yielded mainly lithics designated to the Acheulean period.;36;-8;735.10822467532;377.96536753247
Kanjera South;0;0;3;0;0;0;The Kanjera deposits lie in the Nyanza Rift, on the shore of Homa Peninsula of Lake Victoria, Nyanza Province, Western Kenia. The Northern and Southern Outcrops are approx. 0.5 km apart from each other. Kanjera South has a continuous stratigraphic sequence of Olduwan with lithics.;35;-0;721.27207792208;476.1091987013
Kathu Townlands 1;0;0;2;0;0;0;Kathu Townlands 1 is located on the original western edge of the Farm Bestwood, and now approx. 300 m along the road into Kathu from its junction with the Kuruman/Postmasburg highway. This Acheulean open air site was discovered in 1980 and excavated in 1982 and 1990.;23;-28;572.29437272727;120.88744545455
Kombewa;0;0;1;0;0;0;Kombewa is a subsection of the location of Seme in the Central Kavirondo District of the Nyanza Province. The assemblage includes mainly a surface collection of large rough flakes and smaller flakes, flake-cores, debitage and some tools. It is the type site for the so called Kombewa method, where from the ventral site of a rough irregular flake one smaller flake with oval shape and sharp edge was removed.;35;-0;720.99567142857;479.22077922078
Konso-Gardula;0;0;2;0;0;0;Konso-Gardula is a research area located at the SW extremity of the Main Ethiopian Rift, south of Lake Chamo and about 180 km NE of the northern Turkana Basin. The various assemblages include hominin fossils, Acheulean lithics and a bone handaxe. Furthermore, modified bones are noted but not published in detail.;37;5;758.96681818182;550.77922077922
